Sample	Region	Sex	Platform	Population	PC1	PC2	PC3	PC4	PC5	Longitude-E	Latitude-N	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
HGDP00900	Eurasia-NW	M	Affy Human Origins	Russian	-0.00686397	-0.0103743	-0.00361265	-0.00789479	0.000279652	40	61	-0.00186206	-0.0104686	0.0166955	-0.00359634	-0.00131429	0.000384397	-0.00142261	-0.00290113	0.00298588	-3.44E-05	-0.000256331	-0.000786614	0.00102288	0.000109984	0.00197398
HGDP00901	Eurasia-NW	F	Affy Human Origins	Russian	-0.00673515	-0.00889449	-0.00311133	-0.00795111	-0.000148502	40	61	-0.00239947	-0.00908018	0.0173216	-0.00399955	-0.000841484	-0.00625916	-0.000576075	-0.00296476	0.000670241	0.00149121	-0.0022757	-0.00105186	0.00054915	0.000207928	0.00164947
HGDP00902	Eurasia-NW	F	Affy Human Origins	Russian	-0.0067742	-0.00937633	-0.00282476	-0.00707697	0.000246037	40	61	-0.00246592	-0.0087158	0.0149257	-0.003485	-0.000634177	-0.00135757	0.000301412	-2.03E-05	0.00160462	0.000180487	-0.000326668	-0.000130417	-0.00019652	0.00113836	0.000336114
HGDP00903	Eurasia-NW	F	Affy Human Origins	Russian	-0.00690019	-0.00946068	-0.00225259	-0.00749015	-0.000234417	40	61	-0.00196231	-0.00897476	0.0163579	-0.00442063	-0.0014758	-0.00408681	-0.00116161	-0.00183516	0.00219446	0.000566472	-0.000223573	0.000205581	-0.000570103	0.000507055	0.000462349
HGDP00904	Africa-W	M	Affy Human Origins	Mandenka	0.0295065	0.000929127	-0.000118059	-0.00195906	0.0155137	-12	12	0.0559155	0.0126584	0.0107737	-2.63E-05	-0.008777	-0.00282352	-0.00577055	0.00147577	0.0408534	0.00570396	0.0150014	0.0162175	-0.0010997	-0.0292423	-0.00931084
HGDP00905	Africa-W	M	Affy Human Origins	Mandenka	0.0291645	0.000399538	-3.62E-06	-0.000522551	0.014328	-12	12	0.0568837	0.0165626	0.0126537	0.00196647	-0.00129335	0.000472651	0.00346481	-0.0060641	0.0209957	-0.00703584	-0.00225872	0.00365394	0.00901015	-0.0127306	0.0129476
HGDP00906	Africa-W	M	Affy Human Origins	Mandenka	0.0294951	0.000941966	-2.27E-05	-0.00192411	0.017748	-12	12	0.0571695	0.00982577	0.00665273	0.00160462	-0.00462454	-0.000935511	-0.00129443	-0.00269153	0.0325453	-0.000913046	0.00442012	0.0165911	0.000718218	-0.00902077	0.00447491
HGDP00907	Africa-W	M	Affy Human Origins	Mandenka	0.0298525	0.000546334	0.000260391	-0.00231625	0.020965	-12	12	0.0586918	0.0158843	0.0115408	0.00496049	0.00154876	-0.00746756	-0.00427442	-0.00289807	0.035907	0.000132222	0.0101855	0.0151823	-0.00802855	-0.0214591	0.00999955
HGDP00908	Africa-W	M	Affy Human Origins	Mandenka	0.0289962	0.000973987	0.000368787	-0.00123924	0.0166089	-12	12	0.0565231	0.015897	0.0120886	0.00264224	-0.00257137	-0.00231139	-0.00226574	-0.00171821	0.0261079	-0.000261455	-0.0132976	0.00121993	0.00577115	-0.00495794	0.00829466
HGDP00909	Africa-W	F	Affy Human Origins	Mandenka	0.0296638	0.000696357	-0.00104723	-0.000780267	0.0161446	-12	12	0.0533313	0.0137447	0.0108073	-0.00146755	-0.00140938	-0.00223204	-0.00666061	-0.00014766	0.0321872	-0.00330838	0.0052484	0.0080069	-0.0181789	-0.00694228	0.0116373
HGDP00910	Africa-W	F	Affy Human Origins	Mandenka	0.0291097	0.000476395	1.72E-06	0.000126176	0.0147381	-12	12	0.057329	0.01343	0.0130548	0.000718812	-0.00101271	-0.00306377	-0.00359614	0.00179726	0.031965	-0.00171593	0.0103704	0.0025207	0.00499477	0.00711017	-0.00620686
HGDP00912	Africa-W	M	Affy Human Origins	Mandenka	0.0296416	0.000565908	0.00067105	-0.00106013	0.0148118	-12	12	0.0546369	0.0115972	0.0089728	-0.00182013	-0.00579328	-0.00221008	-0.00244981	0.000437437	0.0285721	-0.00133741	0.00390627	-0.00219005	-0.00521024	-0.0138808	0.00913865
HGDP00913	Africa-W	M	Affy Human Origins	Mandenka	0.0298933	0.000747643	8.27E-05	-0.00132946	0.0158757	-12	12	0.0563362	0.0168042	0.0153756	-0.00171	-0.00518336	-0.003573	-0.00242735	0.00237075	0.0289441	0.00480585	-0.00103647	0.00916025	-0.00847905	-0.00607169	0.00475283
HGDP00915	Africa-W	F	Affy Human Origins	Mandenka	0.0291554	0.000863911	0.000174881	-0.00105057	0.0141939	-12	12	0.0503144	0.0144063	0.00995248	0.00467915	0.00234702	-0.00498701	-0.00848827	0.000713499	0.0226703	0.0139163	0.00494919	-0.00602605	-0.000365276	0.00520535	0.00425835
HGDP00917	Africa-W	F	Affy Human Origins	Mandenka	0.029059	0.00129948	-0.000637761	-0.00227037	0.0169743	-12	12	0.0543128	0.0176259	0.017835	0.00525387	-0.00167927	-0.00267397	-0.00567032	0.00134331	0.036143	0.00575364	0.00085704	0.0203217	0.00405333	-0.00664815	-0.00904227
HGDP00920	Africa-W	F	Affy Human Origins	Yoruba	0.0326981	0.00119289	0.000483974	-0.00112279	0.0101699	5	8	-0.0237857	-0.0297896	-0.0230646	-0.0110863	0.0187509	-0.0046285	0.00669681	-0.00608894	0.0214872	-0.0178091	-0.0187093	-0.0124026	-0.019281	-0.0124435	0.00716878
HGDP00924	Africa-W	F	Affy Human Origins	Yoruba	0.0327263	0.00100606	-0.00124518	-0.00280642	0.0105611	5	8	-0.0282168	-0.0289351	-0.0276413	0.00469869	-0.0116781	-0.00389733	0.0033447	-0.0119566	0.00977176	-0.00080323	0.0139604	0.000420954	-0.0161106	0.0133012	0.00123689
HGDP00925	Africa-W	F	Affy Human Origins	Yoruba	0.0327341	0.000811945	-0.00175651	-0.00305147	0.0127697	5	8	-0.0289389	-0.0183517	-0.0245431	-0.00138974	-0.0049364	-0.00632839	-0.00658641	-0.000685301	0.0114662	0.0132584	0.00343627	-0.00400502	-0.0089923	-0.0138536	0.0351134
HGDP00926	Africa-W	F	Affy Human Origins	Yoruba	0.0326856	0.000850686	-0.00013932	-0.00409476	0.00613884	5	8	-0.0260627	-0.0170883	-0.0167404	-0.0159658	-0.00427707	-0.00283453	0.00667441	-0.00469581	0.00482298	-0.00598385	0.00243863	0.0247062	0.0183228	-0.000617538	-0.034201
HGDP00928	Africa-W	F	Affy Human Origins	Yoruba	0.0324972	0.000894201	-0.00117258	-0.00149287	0.00842248	5	8	-0.0222197	-0.0148695	-0.013967	-0.0050122	-0.0125593	-0.00376838	0.00147276	-0.00463039	0.00728249	-0.0183148	-0.0194165	0.00946309	-0.0213442	-0.000498228	0.00890629
HGDP00929	Africa-W	M	Affy Human Origins	Yoruba	0.0334445	0.00136356	-0.00177244	-0.00108592	0.0116752	5	8	-0.0284467	-0.0229466	-0.0238681	-0.00612042	-0.0169362	-0.00132029	0.000929833	-0.0141493	0.0018756	0.0140893	-0.0341162	0.0134463	-0.0302874	0.0186919	0.0108
HGDP00930	Africa-W	M	Affy Human Origins	Yoruba	0.0320669	0.000841385	-0.00163793	-0.00120946	0.00888229	5	8	-0.0197699	-0.0179989	-0.0200009	-0.00104007	-0.0082959	-0.00162336	0.00230222	-0.00654065	0.00277875	-0.00433	-0.0199558	0.00422148	-0.0285688	0.0143366	-0.0256249
HGDP00931	Africa-W	M	Affy Human Origins	Yoruba	0.0314685	0.00129057	-0.000510386	-0.00092229	0.00818603	5	8	-0.0236259	-0.0225328	-0.0212285	-0.000169542	-0.00983215	-0.00409524	0.00225904	-0.00673888	0.0125015	0.010734	-0.00558163	-0.003255	0.0133291	-0.0188544	-0.000912477
HGDP00932	Africa-W	M	Affy Human Origins	Yoruba	0.0328226	0.00134666	-1.15E-05	-0.00214079	0.0100083	5	8	-0.0232082	-0.0217542	-0.019624	-0.00610581	-0.00919726	-0.00145023	-0.00274742	-0.00628863	0.00288992	-0.00352874	-0.00448347	-0.0128885	-0.0181632	0.00373412	0.0018877
HGDP00933	Africa-W	F	Affy Human Origins	Yoruba	0.0326994	0.00121767	-0.00064815	-0.00297419	0.0137042	5	8	-0.0258005	-0.0186925	-0.0208777	-0.00433308	-0.00435815	0.000122525	-0.00775293	-0.00398035	0.00598231	-0.0190756	-0.00602167	0.0223534	-0.0168505	0.0233412	0.000476742
HGDP00934	Africa-W	F	Affy Human Origins	Yoruba	0.031948	0.000997608	-0.000273004	-0.00237921	0.00957603	5	8	-0.0180431	-0.0167867	-0.0176368	-0.0100057	-0.00665554	-0.000453997	-0.00399146	-0.0043257	-0.00372168	-0.00226456	0.00752243	0.0142402	-0.0178076	0.0130372	0.00655349
HGDP00935	Africa-W	F	Affy Human Origins	Yoruba	0.0325914	0.000605086	-0.000570484	-0.00251304	0.0135656	5	8	-0.0221626	-0.0222743	-0.0278782	-0.00647129	-0.0101546	-0.00261396	0.00395861	-0.0144053	0.0173292	-0.00265823	0.0058616	0.00939949	-0.0202944	0.0283032	-0.00881302
HGDP00936	Africa-W	M	Affy Human Origins	Yoruba	0.033371	0.00136345	-0.00113671	-0.00325685	0.0132411	5	8	-0.03075	-0.0269817	-0.0257111	-0.00429651	-4.51E-05	-0.00550419	0.0149724	-0.0179527	0.0147752	0.00141057	-0.0296367	0.00366372	0.00924286	0.021925	-0.00871067
HGDP00937	Africa-W	M	Affy Human Origins	Yoruba	0.0327161	0.0011671	-0.00107337	-0.00316414	0.00964379	5	8	-0.0316911	-0.0296222	-0.0244349	-0.00448033	-0.00676694	-0.00644977	0.00362134	-0.0053632	0.0165184	0.0111669	0.0183949	-0.00803705	0.0118888	0.0164209	-0.0110413
HGDP00938	Africa-W	F	Affy Human Origins	Yoruba	0.0323978	0.00132593	-0.00106908	-0.00223996	0.0106069	5	8	-0.0116811	-0.0155832	-0.00930035	-0.00932934	-0.000722616	-0.00103056	-0.0016878	0.000569931	0.000592679	-0.00423857	0.00177532	-0.000278668	-0.0120817	-0.0145617	-0.0273322
HGDP00939	Africa-W	F	Affy Human Origins	Yoruba	0.0322002	0.000832665	-0.000632859	-0.00128915	0.0107937	5	8	-0.0190863	-0.0238638	-0.0191676	-0.0118309	-0.00317348	4.12E-05	-0.00248335	-0.00142374	0.00971485	-0.00338495	0.0137021	0.00808011	-0.0259987	-0.0103364	-0.000496401
HGDP00940	Africa-W	M	Affy Human Origins	Yoruba	0.0330119	0.000965673	-0.000827032	-0.00264067	0.0121287	5	8	-0.023215	-0.0265796	-0.0220938	0.00220621	-0.0107985	-0.00478382	0.003574	-0.0138194	0.0182335	-0.0186007	-0.0174374	-0.0132188	0.010474	0.0109294	-0.00880469
HGDP00941	Africa-W	M	Affy Human Origins	Yoruba	0.0330692	0.00098665	-0.00207968	-0.00127101	0.0136402	5	8	-0.01897	-0.0189143	-0.0197544	-0.00952472	0.00451549	-0.00684956	0.00687467	-0.00408693	-0.000738727	0.00170687	-0.000947181	0.0117894	0.00323146	0.00360267	0.0101811
HGDP00942	Africa-W	M	Affy Human Origins	Yoruba	0.032562	0.00125161	-0.000464585	-0.0021079	0.00911555	5	8	-0.0255652	-0.0226794	-0.0200438	-0.000469965	0.0052207	-0.00550987	0.00400615	-0.00665641	0.00980232	9.61E-05	-0.0116132	-0.0109066	-0.00245977	0.00315882	0.0206363
HGDP00943	Africa-W	M	Affy Human Origins	Yoruba	0.0321356	0.00112482	0.000103206	-0.00122835	0.011124	5	8	-0.0256621	-0.0230528	-0.0243296	-0.00495324	0.000662868	-0.00760368	0.00505861	-0.00790932	0.00684161	0.00724213	-0.00725522	-0.0121308	-0.0080103	0.0179964	0.0145084
HGDP00944	Africa-W	M	Affy Human Origins	Yoruba	0.0325008	0.00110461	-0.000610488	-0.00206126	0.00943711	5	8	-0.0178687	-0.019831	-0.0180245	0.000436488	-0.000908404	-0.00245287	0.000832973	-0.000935504	-0.00624275	-0.0132905	-0.00904263	-0.0114158	0.000519375	0.00994715	0.0311251
HGDP00945	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00651191	0.0198756	-0.00238048	-0.00623176	-0.000938708	129.5	63	-0.000488025	-0.00386513	0.011251	-0.00529969	-0.0031496	-0.0411773	-0.00924689	-0.0127385	-0.00231665	0.000155991	0.000426841	0.00079474	0.000275002	0.000338736	-0.000949066
HGDP00946	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00647301	0.0205726	-0.00303533	-0.00712587	-0.00117627	129.5	63	-3.08E-05	-0.00327216	0.0115858	-0.00563196	-0.00345341	-0.0436422	-0.010364	-0.0135577	-0.00200818	0.000321437	0.000294535	0.000495783	0.000693903	-5.88E-05	-0.000414682
HGDP00947	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00652981	0.0193909	-0.00248184	-0.00766833	-0.000795148	129.5	63	-0.000328518	-0.00275628	0.0112194	-0.00528592	-0.00365336	-0.0464654	-0.009452	-0.0128285	-0.00203719	0.000424312	-0.000127161	0.000536265	0.000638246	-0.000271082	-0.000920515
HGDP00948	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00655378	0.0179669	-0.00303498	-0.00705469	-0.000708988	129.5	63	-0.000912753	-0.00315518	0.010938	-0.0055454	-0.00364016	-0.0429856	-0.00903455	-0.0114768	-0.00245679	-0.000187913	0.00123885	0.00092253	0.000337266	-0.000226798	-0.000947353
HGDP00950	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00652213	0.0173773	-0.0034276	-0.00792567	-0.000486719	129.5	63	-0.000771488	-0.00565671	0.0150389	-0.00572135	-0.00284802	-0.0418416	-0.00951532	-0.0121934	-0.00169364	-0.000308611	-0.000249594	0.00115768	0.000402771	-0.000495143	0.000909813
HGDP00951	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00668368	0.0206729	-0.00336725	-0.00696199	-0.000478797	129.5	63	-0.000238072	-0.00440519	0.012552	-0.00592658	-0.00396073	-0.0443727	-0.00984355	-0.0122411	-0.00246282	-0.00108204	0.000378148	0.000643396	0.000467618	0.000206224	-0.0010275
HGDP00952	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00655457	0.0198737	-0.0032841	-0.00844901	-0.000601713	129.5	63	-0.000349794	-0.00349422	0.0119605	-0.00487785	-0.00318129	-0.0426779	-0.0087814	-0.0117097	-0.00237726	-0.000802383	0.000211154	0.000928713	0.00036647	0.000335204	-0.0008742
HGDP00954	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00654467	0.02034	-0.00351988	-0.00731105	-0.00101808	129.5	63	-0.000918721	-0.00366453	0.0107939	-0.00550043	-0.00375012	-0.0413486	-0.00804757	-0.0105047	-0.0025757	-0.000458053	0.00091598	-0.000227621	0.000601881	-0.000199018	1.63E-05
HGDP00955	Eurasia-NE	F	Affy Human Origins	Yakut	-0.00651792	0.0201441	-0.00373744	-0.00750076	-0.000869368	129.5	63	-0.000564338	-0.00496153	0.01504	-0.00647131	-0.00433028	-0.0505259	-0.0108667	-0.0130574	-0.0018475	-0.00042363	0.000264644	0.00113796	0.000244347	0.000130001	0.00035706
HGDP00956	Eurasia-NE	F	Affy Human Origins	Yakut	-0.00639646	0.0209382	-0.00283694	-0.00531031	-0.000505482	129.5	63	-0.000375062	-0.00453679	0.0121072	-0.00518262	-0.00354499	-0.0454016	-0.00939834	-0.012086	-0.00238247	4.52E-05	0.000634936	0.000923317	0.000634338	-0.000569299	-0.000440704
HGDP00958	Eurasia-NE	M	Affy Human Origins	Yakut	-0.0064438	0.0187219	-0.00215701	-0.00743454	-0.000531082	129.5	63	-0.000956053	-0.00394063	0.0118465	-0.00510955	-0.00383573	-0.0386099	-0.0092281	-0.0123869	-0.00216834	-0.00097996	0.00019922	0.000586076	0.000508953	0.000250018	-0.000510364
HGDP00960	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00672164	0.020769	-0.00354604	-0.00662854	-0.000460743	129.5	63	-0.000990961	-0.00403632	0.0125637	-0.00562187	-0.00333355	-0.0474486	-0.0105595	-0.0132022	-0.00261016	-8.16E-06	0.000701972	0.00130054	0.000798551	-0.000379792	-0.000905663
HGDP00961	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00657783	0.020022	-0.00254257	-0.00747765	-0.00130039	129.5	63	-0.000648491	-0.00440759	0.0116087	-0.00481775	-0.00371343	-0.042817	-0.00963841	-0.0122846	-0.002403	1.94E-05	0.000204533	0.000178801	0.000409437	-0.000520729	-0.000827533
HGDP00962	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00640855	0.0213029	-0.00271274	-0.00741336	-0.00117722	129.5	63	-0.000962534	-0.00323667	0.0128213	-0.00649389	-0.00374222	-0.0477166	-0.0109324	-0.0137764	-0.00178935	-0.000740976	0.000370881	0.000313134	0.000422721	-0.000437226	-0.000906846
HGDP00963	Eurasia-NE	F	Affy Human Origins	Yakut	-0.00636866	0.0207305	-0.00342213	-0.00645794	-0.000953133	129.5	63	-0.000339076	-0.00339215	0.0113144	-0.00551884	-0.00391148	-0.0430767	-0.00922423	-0.0115612	-0.0017666	-0.000208452	0.000961427	0.000955723	2.51E-05	-0.000389771	0.000460177
HGDP00964	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00643341	0.0199262	-0.00278979	-0.00648732	-0.000410475	129.5	63	-0.00107386	-0.00429908	0.0133983	-0.00494591	-0.00369813	-0.0464326	-0.00945978	-0.0127802	-0.00263524	0.000219325	0.000646499	0.000366719	-0.000204073	0.000301749	-0.00131448
HGDP00965	Eurasia-NE	M	Affy Human Origins	Yakut	-0.00646537	0.0207815	-0.00199063	-0.00741625	-0.000362607	129.5	63	-0.000798734	-0.00395912	0.0124597	-0.00500819	-0.00297672	-0.0457275	-0.00909544	-0.0112201	-0.00215522	-0.000469581	0.000452947	0.000616442	0.000387273	-7.17E-05	-0.000678965
HGDP00966	Eurasia-NE	F	Affy Human Origins	Yakut	-0.00660427	0.018897	-0.00394129	-0.00695334	-0.000758131	129.5	63	-0.000331399	-0.00305481	0.0109658	-0.00460858	-0.00376514	-0.0424899	-0.00813242	-0.0119659	-0.00218956	-0.000623115	0.000256389	0.00085292	0.000699231	-0.000130055	-0.00114374
HGDP00967	Eurasia-NE	F	Affy Human Origins	Yakut	-0.00654602	0.0199132	-0.00292383	-0.0066089	-0.000535622	129.5	63	-0.000291066	-0.0043089	0.0125794	-0.00459562	-0.00351503	-0.0403406	-0.00799095	-0.0100671	-0.0010893	-0.00106373	0.000296412	0.000510695	0.000781964	-0.000380534	-0.000231943
HGDP00968	Eurasia-NE	M	Affy Human Origins	Yakut	-0.0064313	0.0184724	-0.00298868	-0.00579151	-0.000582422	129.5	63	-0.000646432	-0.00458352	0.0124467	-0.00492432	-0.0037944	-0.0401196	-0.00815659	-0.010199	-0.000986123	-0.00067724	0.000357205	0.000684412	0.000515674	0.000127218	-0.00056822
HGDP00970	America-S	F	Affy Human Origins	Piapoco	-0.00679964	0.019312	-0.0606401	0.0326964	-6.27E-05	-70.5	5.5	-0.000281622	0.00224968	-0.00593714	0.00203259	0.00146127	0.0166942	0.00258753	0.00377426	0.000226016	0.000222646	5.26E-05	-0.000307992	-0.000610949	0.000144198	0.000199198
HGDP00971	Eurasia-NE	M	Affy Human Origins	Han	-0.0064841	0.0254646	0.00894985	-0.0127061	-0.000116015	114	32.3	-0.000141875	0.0016254	-0.00217584	0.0010484	0.000347848	-0.000534336	0.00402968	0.00575346	0.000352524	0.000126741	0.000461508	-0.00014056	0.000318117	0.000422412	-0.000396229
HGDP00972	Eurasia-NE	F	Affy Human Origins	Han	-0.00648671	0.0265168	0.0064447	-0.0150608	-0.00118611	114	32.3	0.000317861	0.00162455	-0.00444782	0.00239567	0.000676421	0.00771633	0.00565982	0.005674	0.000276817	-2.75E-06	-0.000378267	-0.00059757	-9.69E-05	0.000445552	0.000628595
HGDP00973	Eurasia-NE	M	Affy Human Origins	Han	-0.00627432	0.0271444	0.00756898	-0.0142225	-0.00150989	114	32.3	0.000768785	0.00128381	-0.00455104	0.00150501	0.000364766	0.00863435	0.00359705	0.00512655	0.000247998	-0.000143784	-0.000114511	-9.79E-05	-4.59E-05	-9.13E-05	-0.00025135
HGDP00974	Eurasia-NE	F	Affy Human Origins	Han	-0.0061937	0.0260481	0.00798948	-0.0140051	-0.00143611	114	32.3	0.000435824	0.00165882	-0.00568879	0.00258815	0.00146781	0.0130677	0.00401689	0.0057464	0.000560484	0.000172585	0.00028255	0.000516265	-0.000152202	0.000485966	0.000197768
HGDP00975	Eurasia-NE	F	Affy Human Origins	Han	-0.00630001	0.0261781	0.00754276	-0.0137941	-0.00119224	114	32.3	0.000301173	0.00182659	-0.0061023	0.00212425	0.00145243	0.0133016	0.00478583	0.0054459	0.000654619	0.000214662	-0.000346759	-0.000246648	-0.000180357	-4.14E-05	-0.000233365
HGDP00976	Eurasia-NE	F	Affy Human Origins	Han	-0.00629415	0.0261057	0.00553595	-0.0136163	-0.00109666	114	32.3	0.000858609	0.00277678	-0.00442849	0.00120706	0.000474417	0.0019851	0.00239901	0.00439051	-0.00133484	0.00132519	0.000600009	0.000547663	-0.00168873	-0.00165695	0.000374723
HGDP00977	Eurasia-NE	M	Affy Human Origins	Han	-0.00626696	0.0266059	0.00707958	-0.0146832	-0.00121278	114	32.3	0.000699913	0.00142249	-0.00501654	0.00138516	0.000940724	0.0110061	0.00553966	0.00682491	0.000587134	0.000171087	0.000329321	-0.000640347	0.000573278	2.19E-05	0.000394479
HGDP00982	Africa-W	M	Affy Human Origins	MbutiPygmy	0.0251842	0.00189035	0.00896996	0.0195688	-0.129141	29	1	0.0434148	-0.0569921	0.00632633	0.0561641	-0.00440355	-0.00308713	0.208959	-0.140522	-0.00380646	0.00436655	2.89E-05	0.00886698	0.00179325	0.00459063	-0.0205154
HGDP00984	Africa-W	M	Affy Human Origins	MbutiPygmy	0.0251728	0.00222004	0.00852724	0.0192226	-0.124459	29	1	0.0473865	-0.0552868	0.00934141	0.0558847	-0.00356405	-0.00388034	0.194762	-0.131558	-0.000299857	0.0126182	0.00986967	0.00268409	0.00314268	-0.00158307	-0.00274348
HGDP00985	Africa-W	M	Affy Human Origins	BiakaPygmy	0.0281965	0.00166017	0.0061142	0.0148014	-0.102643	17	4	0.0272704	-0.0821606	0.000982898	0.163133	0.0182231	-0.0145323	-0.106811	0.071288	0.0102167	-0.00165804	-0.0123532	-0.00544268	-0.00915976	0.00505887	-0.0037927
HGDP00986	Africa-W	M	Affy Human Origins	BiakaPygmy	0.0281132	0.00169475	0.00658093	0.0138072	-0.0930553	17	4	0.0230222	-0.072629	0.00100684	0.135548	0.0127498	-0.0112032	-0.0875763	0.0571119	0.0137311	0.00186056	0.00889002	-0.0127473	0.0112379	-0.00519199	0.0144538
HGDP00987	Africa-S	M	Affy Human Origins	Ju_hoan_North	0.0215222	0.00177822	0.0125586	0.0213937	-0.136861	21	-19.5	0.0863107	-0.0830874	-0.0472573	-0.17353	-0.0150079	0.01264	-0.0295853	0.0519694	0.00696364	0.000440723	0.0029548	0.00166679	0.00823261	0.00260995	0.00195005
HGDP00991	Africa-S	M	Affy Human Origins	Ju_hoan_North	0.0214362	0.0015813	0.0116881	0.0213771	-0.131633	21	-19.5	0.0809846	-0.0783132	-0.0468039	-0.174367	-0.0128873	0.0112027	-0.0350693	0.0513507	0.0130808	-0.00138825	-0.000592411	-0.00502699	0.00795987	-0.00800174	-0.00122722
HGDP00992	Africa-S	M	Affy Human Origins	Ju_hoan_North	0.0209513	0.00158463	0.0115894	0.0215091	-0.129825	21	-19.5	0.0810194	-0.0736931	-0.0473036	-0.171435	-0.0133173	0.0108937	-0.0245947	0.0437142	0.00522849	-0.00527979	-0.00432236	-0.00686886	-0.000200659	0.00146667	0.00212189
HGDP00993	Africa-S	M	Affy Human Origins	Bantu_SA_Pedi	0.0297987	0.00149308	0.00396803	0.00705333	-0.0536196	24.3	-25.6	0.000723005	-0.0095601	0.00650798	-0.0702427	0.0180946	0.0120124	-0.0254143	0.0334473	-0.00601441	0.0190236	-0.0106044	-0.0164423	0.00156264	0.00150347	-0.0399002
HGDP00994	Africa-S	M	Affy Human Origins	Bantu_SA_S_Sotho	0.0299289	0.0010199	0.00359845	0.00655221	-0.0490661	24.3	-25.6	-0.00217748	-0.00675136	0.00290832	-0.0551409	-0.00625204	0.00950187	-0.0223453	0.0279704	0.000483381	0.0134196	0.000628225	-0.00276986	0.0128084	0.00112666	-0.0110849
HGDP00995	America-S	F	Affy Human Origins	Karitiana	-0.00704869	0.019184	-0.0612847	0.0327574	0.000638004	-63	-10	3.02E-05	0.00228734	-0.00563462	0.0016444	0.00122426	0.0181977	0.0042511	0.00550372	0.00052904	9.92E-05	0.000644695	-0.000602199	0.000171949	-0.000452275	0.000339973
HGDP00999	America-S	F	Affy Human Origins	Karitiana	-0.00697049	0.0193825	-0.0631712	0.0336631	0.000362582	-63	-10	3.82E-05	0.00221634	-0.00656828	0.0017837	0.00112756	0.0177821	0.00353745	0.00436227	0.000900307	0.000492255	0.000703215	-0.000399313	-9.01E-05	-0.000140979	-0.000348183
HGDP01001	America-S	F	Affy Human Origins	Karitiana	-0.00699521	0.0189949	-0.0625311	0.0331933	0.000207247	-63	-10	0.000280849	0.00214477	-0.00602798	0.00197763	0.00140885	0.0189142	0.00371238	0.00476523	0.00064516	0.000262466	0.00119963	-0.000409518	0.000166701	-0.000339764	0.000449297
HGDP01003	America-S	F	Affy Human Origins	Karitiana	-0.00698885	0.019351	-0.0611757	0.0313821	4.43E-05	-63	-10	-6.05E-05	0.00209007	-0.00588199	0.00220012	0.00138068	0.0185159	0.00455714	0.00623575	0.000861477	0.000602083	0.000257238	-0.00112115	-0.000253177	8.81E-06	0.000567205
HGDP01006	America-S	F	Affy Human Origins	Karitiana	-0.00716158	0.0190293	-0.0611804	0.0322243	0.000540063	-63	-10	-0.00012008	0.00224153	-0.00632943	0.00211361	0.00156844	0.0179374	0.00424024	0.00531219	0.000575844	3.26E-05	0.000225783	-0.000316238	-0.000732113	5.85E-05	-0.000161983
HGDP01010	America-S	F	Affy Human Origins	Karitiana	-0.00708217	0.0191096	-0.0617373	0.0325804	0.000292098	-63	-10	-4.38E-05	0.00240459	-0.00558621	0.00246704	0.00170558	0.0190007	0.00414089	0.00575554	0.000891994	-0.00050748	0.000579352	-0.000253887	-0.000553839	-3.21E-05	4.52E-05
HGDP01012	America-S	M	Affy Human Origins	Karitiana	-0.00694605	0.0188537	-0.0624602	0.0335841	0.000569435	-63	-10	0.000334243	0.00227393	-0.00578856	0.00207839	0.00147326	0.0179413	0.00500633	0.00593337	0.000621406	0.000217906	0.00110815	-3.32E-05	7.15E-05	-0.000347548	0.000829842
HGDP01013	America-S	M	Affy Human Origins	Karitiana	-0.00698495	0.019417	-0.060617	0.0323581	0.000449358	-63	-10	0.000379665	0.00202067	-0.00558509	0.00170957	0.00124676	0.0172936	0.00470815	0.00620562	0.000926138	0.00010651	0.00048427	-0.000230238	-9.65E-05	7.44E-05	-6.74E-05
HGDP01014	America-S	F	Affy Human Origins	Karitiana	-0.00699699	0.0188849	-0.062328	0.0323612	2.70E-05	-63	-10	0.000206137	0.00264412	-0.00639011	0.00190368	0.000936843	0.017129	0.00424535	0.00518303	0.000155072	-4.11E-05	0.000425118	-0.000276191	-0.000253434	-0.000370615	0.000612353
HGDP01015	America-S	M	Affy Human Origins	Karitiana	-0.00708189	0.019104	-0.0616734	0.0324115	0.000248821	-63	-10	0.000178896	0.00250007	-0.00604642	0.00157528	0.00114525	0.0173815	0.00338754	0.00443936	-0.000186173	0.00015992	0.000351449	-0.000336711	-0.00030318	0.000185651	2.09E-05
